Milk production reduced,Milk abnormal,Udder swollen/hard,Udder warm,Kicking/avoiding milking,Limping/walking unevenly,Lying down more than usual,Standing on one leg often,Visible injuries/swelling (legs/hooves),Reluctance to move,Aggression/anxiety,Nervous/jumpy,Stumbling/trembling/balance issues,Trouble rising/standing,Excessive licking/teeth grinding,Eating normally,Water intake normal,Isolation from herd,Body temperature (°C),Health Condition
1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,39.385173004449335,2
1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,37.9649285946778,2
0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,40.282933568209515,1
0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,38.73697901008825,1
1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,39.376770547196266,1
1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,39.67391799186128,1
1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,39.529357481823446,1
0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,39.43849651417456,2
0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,39.04914013987377,1
0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,38.91686404038549,1
0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,40.647827424010245,2
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,39.20253707045907,0
0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,38.66228178089774,2
1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,39.723199246553015,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,40.880670874150056,0
0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,38.678207438732514,1
1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,37.8683702051959,1
0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,38.73845231053463,1
0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,39.689341163884635,1
0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,39.34397955491466,1
0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,38.84072821895471,1
0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,38.670905422764676,1
0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,38.3808661027233,1
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,38.52641152239899,1
0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,38.54985718716161,2
0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,40.17990058889592,1
0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,40.11680794225116,2
0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,38.70364819718452,1
0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,38.7548268424791,1
0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,39.933844721769866,1
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,38.45195962725941,1
0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,39.00672503164205,1
0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,39.572011781561194,1
0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,40.125199528961446,2
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,38.08006563872182,0
0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,38.84413159318922,2
0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,38.5640005402655,1
0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,39.3583904836197,1
1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,38.86447199019733,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,39.22465137934058,0
0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,38.42693556167753,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,39.39118664138477,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,38.64837973865956,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,38.13912640390573,1
0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,40.53435867565355,2
0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,38.20338628200095,1
0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,39.64918949979714,2
0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,38.194566727454806,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,38.73500630358129,0
0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,37.552441362265746,2
0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,39.55098107024102,1
0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,39.56191016012424,2
